,strain_name,ID
0,Acidaminococcus_fermentans_DSM_20731,78
1,Acidaminococcus_intestini_RyC_MR95,150
5,Adlercreutzia_equolifaciens_DSM_19450,224
38,Bifidobacterium_bifidum_BGN4,444
39,Bifidobacterium_bifidum_NCIMB_41171,477
40,Bifidobacterium_bifidum_PRL2010,422
41,Bifidobacterium_bifidum_S17,334
57,Bifidobacterium_pseudocatenulatum_DSM_20438,200
94,Clostridium_sporogenes_ATCC_15579,174
102,Eggerthella_lenta_DSM_2243,164
123,Eubacterium_cylindroides_T2_87,752
135,Flavonifractor_plautii_ATCC_29863,119
154,Haemophilus_parainfluenzae_T3T1,315
160,Klebsiella_pneumoniae_pneumoniae_MGH78578,331
191,Lactobacillus_ruminis_ATCC_25644,792
196,Lactococcus_lactis_subsp_lactis_Il1403,467
201,Megamonas_hypermegale_ART12_1,239
202,Megasphaera_elsdenii_DSM_20460,23
214,Parabacteroides_distasonis_ATCC_8503,21
228,Prevotella_ruminicola_23,67
273,Streptococcus_pneumoniae_G54,12
284,Veillonella_parvula_Te3_DSM_2008,19
